# Datum / Zeit: (Anfang) 22.06.2017 11:43:59 (Ende)  22.06.2017 11:48:56
#
# Einstellungen: 
# Start:      AUX1 -0.190000 V 
# End1:       AUX1 0.600000 V 
# Step1:      AUX1 0.005000 V 
# Holdtime:   AUX1 1001.000000 ms (Wartezeit nach dem Einstellen; automatisch erhöhen)
#
# aktuell:    AUX2 0.000000 V 
# Start:      AUX2 0.000000 V 
# End1:       AUX2 0.000000 V 
# Step1:      AUX2 0.000000 V 
# Holdtime:   AUX2 5001.000000 ms (Abstand der Datenpunkte)
#
#
#
#
#
#
#
#
#
# AUX3: 0.000000 V
# AUX4: 0.000000 V
#
# B-Feld nicht abwarten; B-Feld nicht abschalten
#
# time constant: 0.100000 s
# sensitivity: 1V/µA
# dyn reserve: high reserve
# slope: 18 dB/oct
# sync filter: off
# line filter: off
#
# Input:  I (1E+6)
# ground: ground
# couple: AC
#
# Lock-In - automeasure: off
# ref. phase.:   0.00
# ref. source: intern
# osc. harm#: 1.000000
# osc. freq.: 433.000000
# osc. ampl.: 0.004000
# ref. trigger: sine
#
# Channel 1
# display: X
# ratio: none
# output: X
#
# Channel 2
# display: Y
# ratio: none
# output: Y
#
# off. & exp.
# X:  offset = 0.000000;  expand = none
# Y:  offset = 0.000000;  expand = none
# R:  offset = 0.000000;  expand = none
#
# Spannungsteilerfaktor Aux1:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux2:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux3:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux4:        Kein Teiler verwendet
#
# Spannungsteilerfaktor Osc. Ampl.:  100.000000
# Spannungsteilerfaktor Messeingang: 10.000000
#
# Korrektur von Aux1 (Aux1' = Aux1 + X*Aux2*(Teiler Aux1/Teiler Aux2) mit  X = 0; keine Korrektur
# Korrektur von Aux2 (Aux2' = Aux2 + X*Aux1*(Teiler Aux2/Teiler Aux1) mit  X = 0; keine Korrektur
#
#
#
#
#
#
#
# Bemerkungen: keine Bemerkungen
#
#
#
#
#
#
#
#
#
#               Aux1,                Aux2,               Re(I),               Im(I),               Aux1',               Aux2',              Re(I)',              Im(I)'
#                 U1,                  U2,               Re(I),               Im(I),           U1/Teiler,           U2/Teiler,      Re(I)/osc.Ampl,      Im(I)/osc.Ampl
          9.00000E-2,          0.00000E+0,         5.23475E-10,        -8.52656E-14,          9.00000E-2,          0.00000E+0,          1.30869E-4,         -2.13164E-8
          9.50000E-2,          0.00000E+0,         5.28733E-10,        -7.10546E-13,          9.50000E-2,          0.00000E+0,          1.32183E-4,         -1.77637E-7
          1.00000E-1,          0.00000E+0,         5.33934E-10,        -6.82124E-13,          1.00000E-1,          0.00000E+0,          1.33484E-4,         -1.70531E-7
          1.05000E-1,          0.00000E+0,         5.38936E-10,        -8.24233E-13,          1.05000E-1,          0.00000E+0,          1.34734E-4,         -2.06058E-7
          1.10000E-1,          0.00000E+0,         5.43825E-10,         1.98953E-13,          1.10000E-1,          0.00000E+0,          1.35956E-4,          4.97382E-8
          1.15000E-1,          0.00000E+0,         5.49679E-10,        -3.41062E-13,          1.15000E-1,          0.00000E+0,          1.37420E-4,         -8.52655E-8
          1.20000E-1,          0.00000E+0,         5.58718E-10,        -5.68438E-13,          1.20000E-1,          0.00000E+0,          1.39680E-4,         -1.42110E-7
          1.25000E-1,          0.00000E+0,         5.58376E-10,        -1.02319E-12,          1.25000E-1,          0.00000E+0,          1.39594E-4,         -2.55797E-7
          1.30000E-1,          0.00000E+0,         5.64743E-10,        -4.54751E-13,          1.30000E-1,          0.00000E+0,          1.41186E-4,         -1.13688E-7
          1.35000E-1,          0.00000E+0,         5.73042E-10,        -5.11594E-13,          1.35000E-1,          0.00000E+0,          1.43261E-4,         -1.27899E-7
          1.40000E-1,          0.00000E+0,         5.80773E-10,          0.00000E+0,          1.40000E-1,          0.00000E+0,          1.45193E-4,          0.00000E+0
          1.45000E-1,          0.00000E+0,         5.89640E-10,        -3.41062E-13,          1.45000E-1,          0.00000E+0,          1.47410E-4,         -8.52655E-8
          1.50000E-1,          0.00000E+0,         5.97087E-10,        -7.38968E-13,          1.50000E-1,          0.00000E+0,          1.49272E-4,         -1.84742E-7
          1.55000E-1,          0.00000E+0,         6.01634E-10,        -5.68438E-13,          1.55000E-1,          0.00000E+0,          1.50408E-4,         -1.42110E-7
          1.60000E-1,          0.00000E+0,         6.08512E-10,        -1.08003E-12,          1.60000E-1,          0.00000E+0,          1.52128E-4,         -2.70008E-7
